SalePrice,PID,Lot Frontage,Lot Area,Street,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Heating,Central Air,Electrical,Full Bath,Half Bath,Bedroom AbvGr,TotRms AbvGrd,Gr Liv Area,Functional,Screen Porch,Pool Area,Yr Sold,Sale Type
159000,531363010,80,9605,Pave,SawyerW,1Fam,1Story,7,6,2007,Gable,GasA,Y,SBrkr,1,1,3,6,1218,Typ,0,0,2009,WD
271900,906203120,90,14684,Pave,SawyerW,1Fam,1Story,7,7,1990,Hip,GasA,Y,SBrkr,2,0,3,7,2196,Typ,0,0,2009,WD
137500,916176030,NA,14375,Pave,Timber,1Fam,SLvl,6,6,1958,Gable,GasA,Y,FuseA,1,0,3,7,1344,Typ,233,0,2009,COD
248500,528180130,48,6472,Pave,NridgHt,TwnhsE,1Story,9,5,2008,Hip,GasA,Y,SBrkr,2,0,2,6,1456,Typ,0,0,2009,WD
167000,528290030,61,9734,Pave,Gilbert,1Fam,SLvl,7,5,2004,Gable,GasA,Y,SBrkr,2,1,3,7,1374,Typ,0,0,2009,WD
140000,535453150,70,7315,Pave,"NAmes",1Fam,1Story,5,6,1958,Hip,GasA,Y,SBrkr,1,0,3,6,1170,Typ,225,0,2007,WD
128000,535452090,71,7350,Pave,"NAmes",1Fam,1Story,5,6,1958,Hip,GasA,Y,SBrkr,1,0,3,6,1041,Typ,0,0,2009,WD
213000,914467050,NA,11050,Pave,Mitchel,1Fam,2Story,7,5,1996,Gable,GasA,Y,SBrkr,2,1,3,8,1820,Typ,0,0,2008,WD
100000,527455240,65,7150,Pave,"NAmes",1Fam,1Story,5,5,1967,Gable,GasA,Y,SBrkr,1,0,3,5,892,Typ,0,0,2009,WD
190000,527327080,NA,18800,Pave,NWAmes,1Fam,2Story,6,5,1976,Gable,GasA,Y,SBrkr,2,1,3,6,1574,Typ,0,0,2006,WD
225000,906223140,NA,14171,Pave,SawyerW,1Fam,2Story,7,5,1993,Gable,GasA,Y,SBrkr,2,1,4,9,2200,Typ,0,0,2008,WD
94900,923225370,21,1596,Pave,MeadowV,Twnhs,SLvl,4,6,1973,Gable,GasA,Y,SBrkr,1,0,1,4,988,Typ,0,0,2008,WD
231500,907194020,80,12435,Pave,CollgCr,1Fam,2Story,7,5,2001,Gable,GasA,Y,SBrkr,2,1,3,7,1792,Typ,0,0,2008,WD
180000,527358120,104,11361,Pave,NWAmes,1Fam,1Story,6,5,1976,Gable,GasA,Y,SBrkr,2,0,3,7,1523,Typ,189,0,2008,COD
410000,916382100,113,13438,Pave,Timber,1Fam,1Story,9,5,2008,Gable,GasA,Y,SBrkr,2,0,3,9,2036,Typ,0,0,2009,WD
184500,528174070,34,5122,Pave,NridgHt,Twnhs,1Story,6,5,2005,Gable,GasA,Y,SBrkr,2,0,1,5,1306,Typ,0,0,2009,WD
127000,535325130,55,7700,Pave,"NAmes",1Fam,SLvl,5,7,1956,Gable,GasA,Y,FuseA,1,0,3,6,1145,Min2,0,0,2006,WD
120000,535379100,60,10800,Pave,OldTown,1Fam,1Story,5,6,1920,Hip,GasA,Y,SBrkr,1,0,2,5,1130,Typ,0,0,2006,WD
154000,534125080,78,11700,Pave,NWAmes,1Fam,2Story,6,6,1968,Gable,GasA,Y,SBrkr,1,1,4,8,1556,Typ,0,0,2009,WD
137500,534425310,80,8800,Pave,"NAmes",1Fam,SFoyer,6,7,1963,Gable,GasA,Y,SBrkr,1,0,3,6,1054,Typ,0,0,2010,WD
87000,902305090,60,9600,Pave,OldTown,1Fam,2Story,4,2,1900,Gable,GasW,N,SBrkr,2,0,4,8,1774,Min2,0,0,2006,WD
161000,924100050,68,10544,Pave,Mitchel,1Fam,1.5Fin,5,5,1969,Gable,GasA,Y,SBrkr,2,0,5,8,1479,Typ,0,0,2010,WD
68500,903235100,60,6324,Pave,BrkSide,1Fam,1Story,4,6,1927,Gable,GasA,N,SBrkr,1,0,1,4,520,Typ,0,0,2008,WD
301600,535355020,113,21281,Pave,"NAmes",1Fam,2Story,5,4,1935,Gable,GasA,Y,SBrkr,3,1,4,9,3086,Min1,156,0,2007,WD
169000,532479070,39,15410,Pave,Sawyer,1Fam,1Story,6,6,1974,Hip,GasA,Y,SBrkr,2,0,3,7,1494,Typ,0,0,2010,WD
387000,527214030,53,15401,Pave,StoneBr,1Fam,1Story,9,5,2004,Hip,GasA,Y,SBrkr,2,0,2,7,1884,Typ,0,0,2008,WD
