id_num,Q1,Q2,political_affiliation,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18
1,Male,53,Independent,Liberal,College degree,Black,No,No,No,"Yes, somewhat religious",Pro-Choice,No,No,Behave no differently,5,2,5,No
5,Female,66,Independent,Conservative,Some college,White,Yes,No,Yes,"Yes, very religious",Pro-life,Yes,Yes,Less Willing,4,5,4,No
7,Female,58,Democrat,Liberal,College degree,White,No,No,No,"Yes, very religious",Pro-Choice,No,No,Behave no differently,5,1,4,Yes
8,Male,55,Independent,Moderate,High school or less,White,Yes,Yes,Yes,"Yes, somewhat religious",Pro-life,Yes,Yes,Less Willing,4,5,4,Yes
9,Male,64,Republican,Conservative,High school or less,White,Yes,Yes,Yes,No,Pro-life,No,No,Behave no differently,5,1,1,Yes
10,Male,62,Republican,Conservative,Some college,White,No,Yes,Yes,"Yes, very religious",Pro-life,Yes,Yes,Less Willing,1,5,1,Yes
15,Female,62,Democrat,Conservative,High school or less,Latino,Yes,No,Yes,"Yes, very religious",Pro-life,No,No,Less Willing,5,1,2,No
16,Male,45,Democrat,Liberal,Some college,Latino,No,No,Yes,No,Pro-Choice,No,No,Behave no differently,5,4,4,No
18,Male,55,Independent,Moderate,Graduate degree,White,Yes,No,Yes,"Yes, somewhat religious",Pro-Choice,No,No,Behave no differently,5,2,2,Yes
19,Male,25,Independent,Conservative,Graduate degree,Latino,Yes,Yes,Yes,"Yes, very religious",Pro-life,Yes,No,Behave no differently,4,5,4,No
20,Male,26,Democrat,Liberal,College degree,White,No,No,Yes,No,Pro-Choice,No,No,Less Willing,5,1,4,Yes
23,Male,53,Republican,Conservative,Graduate degree,White,Yes,Yes,Yes,"Yes, somewhat religious",Pro-Choice,No,No,Behave no differently,5,1,4,Yes
26,Male,38,Independent,Moderate,College degree,White,Yes,Yes,Yes,"Yes, somewhat religious",Pro-Choice,No,No,Behave no differently,5,2,5,Yes
29,Male,59,Democrat,Moderate,College degree,White,Yes,Yes,No,"Yes, somewhat religious",Pro-Choice,No,No,Behave no differently,5,1,4,Yes
30,Female,51,Republican,Conservative,Graduate degree,White,Yes,No,Yes,"Yes, somewhat religious",Pro-life,No,No,Behave no differently,5,2,4,No
32,Male,52,Republican,Moderate,Some college,White,No,No,Yes,No,Pro-Choice,No,No,Behave no differently,5,1,4,No
36,Female,62,Democrat,Conservative,Some college,Black,Yes,No,No,No,Pro-life,No,No,Behave no differently,5,5,2,No
39,Female,34,Democrat,Liberal,Graduate degree,White,No,No,Yes,"Yes, somewhat religious",Pro-Choice,No,No,Behave no differently,5,1,5,No
42,Male,30,Republican,Conservative,Graduate degree,White,Yes,No,Yes,"Yes, very religious",Pro-life,Yes,No,Behave no differently,1,5,2,No
43,Male,30,Independent,Conservative,High school or less,White,Yes,Yes,No,"Yes, somewhat religious",Pro-life,Yes,No,More Willing,5,5,1,Yes
